token;value;tense;mood
вошли;входить;past;
вошло;входить;past;
входил;входить;past;
входила;входить;past;
входили;входить;past;
входило;входить;past;
входим;входить;present;
входит;входить;present;
входите;входить;present;
входить;входить;present;
входишь;входить;present;
входят;входить;present;
вхожу;входить;present;
выдается;выдавать;present;
выдаётся;выдавать;present;
выйдем;входить;future;
выйдет;входить;future;
выйдете;входить;future;
выйдешь;входить;future;
выйду;входить;future;
выйдут;входить;future;
выйти;выходить;future;
выключить;отключать;future;
вырастаем;расти;present;
вырастает;расти;present;
вырастаете;расти;present;
вырастаешь;расти;present;
вырастал;расти;past;
вырастала;расти;past;
вырастали;расти;past;
вырастало;расти;past;
вырастать;расти;present;
вырастаю;расти;present;
вырастают;расти;present;
вырастем;расти;present;
вырастет;расти;future;
вырастете;расти;future;
вырастешь;расти;future;
вырасту;расти;future;
вырастут;расти;future;
вырос;расти;past;
выросла;расти;past;
выросли;расти;past;
выросло;расти;past;
высветились;отображаются;past;
высвечиваются;отображаются;present;
выслал;высылать;past;
выслала;высылать;past;
выслали;высылать;past;
выслало;высылать;past;
высылаем;высылать;present;
высылает;высылать;present;
высылаете;высылать;present;
высылаешь;высылать;present;
высылал;высылать;past;
высылала;высылать;past;
высылали;высылать;past;
высылало;высылать;past;
высылать;высылать;present;
высылаю;высылать;present;
высылают;высылать;present;
выходил;входить;past;
выходила;входить;past;
выходили;входить;past;
выходило;входить;past;
выходим;входить;present;
выходит;входить;present;
выходите;входить;present;
выходить;входить;present;
выходишь;входить;present;
выходят;входить;present;
выхожу;входить;present;
вышел;входить;past;
вышла;входить;past;
вышлем;высылать;future;
вышлет;высылать;future;
вышлете;высылать;future;
вышлешь;высылать;future;
вышли;входить;past;
вышлите;высылать;future;
вышло;входить;past;
вышлю;высылать;future;
вышлют;высылать;future;
говорил;сказать;past;
говорила;сказать;past;
говорили;сказать;past;
говорило;сказать;past;
говорим;сказать;present;
говорит;сказать;present;
говорите;сказать;present;
говорить;сказать;present;
говоришь;сказать;present;
говорю;сказать;present;
говорят;сказать;present;
грузит;load;present;
грузится;load;present;
грузить;load;present;
дойдём;доходить;future;
дойдёт;доходить;future;
дойдёте;доходить;future;
дойдёшь;доходить;future;
дойду;доходить;future;
дойдут;доходить;past;
доподключить;подключить;present;
дослал;доходить;past;
дослала;доходить;past;
дослали;доходить;past;
дослало;доходить;past;
доставил;deliver;past;
доставила;deliver;past;
доставили;deliver;past;
доставило;deliver;past;
доставим;deliver;future;
доставит;deliver;future;
доставите;deliver;future;
доставить;deliver;present;
доставишь;deliver;future;
доставлен;deliver;past;
доставлена;deliver;past;
доставлю;deliver;future;
доставляем;deliver;present;
доставляет;deliver;present;
доставляете;deliver;present;
доставляешь;deliver;present;
доставлял;deliver;past;
доставляла;deliver;past;
доставляли;deliver;past;
доставляло;deliver;past;
доставлять;deliver;present;
доставляю;deliver;present;
доставляют;deliver;present;
доставят;deliver;future;
досылаем;доходить;present;
досылает;доходить;present;
досылаете;доходить;present;
досылаешь;доходить;present;
досылал;доходить;past;
досылала;доходить;past;
досылали;доходить;past;
досылало;доходить;past;
досылать;доходить;present;
досылаю;доходить;present;
досылают;доходить;past;
доходил;доходить;past;
доходила;доходить;past;
доходили;доходить;past;
доходило;доходить;past;
доходим;доходить;present;
доходит;доходить;present;
доходите;доходить;present;
доходить;доходить;present;
доходишь;доходить;present;
доходят;доходить;present;
дохожу;доходить;present;
дошел;доходить;past;
дошёл;доходить;past;
дошла;доходить;past;
дошлём;доходить;future;
дошлёт;доходить;future;
дошлёте;доходить;future;
дошлёшь;доходить;future;
дошли;доходить;past;
дошло;доходить;past;
дошлю;доходить;future;
дошлют;доходить;future;
живём;жить;present;
живёт;жить;present;
живёте;жить;present;
живёшь;жить;present;
живу;жить;present;
живут;жить;present;
жил;жить;past;
жила;жить;past;
жили;жить;past;
жило;жить;past;
жить;жить;present;
заблокирован;close;past;perfect
заблокировать;close;present;
забрасываем;забрасывать;present;
забрасывает;забрасывать;present;
забрасываете;забрасывать;present;
забрасываешь;забрасывать;present;
забрасывал;забрасывать;past;
забрасывала;забрасывать;past;
забрасывали;забрасывать;past;
забрасывало;забрасывать;past;
забрасывать;забрасывать;present;
забрасываю;забрасывать;present;
забрасывают;забрасывать;present;
забросил;забрасывать;past;
забросила;забрасывать;past;
забросили;забрасывать;past;
забросило;забрасывать;past;
забросим;забрасывать;future;
забросит;забрасывать;future;
забросите;забрасывать;future;
забросишь;забрасывать;future;
забросят;забрасывать;future;
заброшу;забрасывать;future;
забудем;забывать;future;
забудет;забывать;future;
забудете;забывать;future;
забудешь;забывать;future;
забуду;забывать;future;
забудут;забывать;future;
забываем;забывать;present;
забывает;забывать;present;
забываете;забывать;present;
забываешь;забывать;present;
забывал;забывать;past;
забывала;забывать;past;
забывали;забывать;past;
забывало;забывать;past;
забывать;забывать;present;
забываю;забывать;present;
забывают;забывать;present;
забыл;забывать;past;
забыла;забывать;past;
забыли;забывать;past;
забыло;забывать;past;
загружаем;load;present;
загружает;load;present;
загружаете;load;present;
загружается;load;present;
загружаешь;load;present;
загружал;load;past;
загружала;load;past;
загружали;load;past;
загружало;load;past;
загружать;load;present;
загружаю;load;present;
загружают;load;present;
загружаются;load;present;
загружу;load;future;
загрузил;load;past;
загрузила;load;past;
загрузили;load;past;
загрузило;load;past;
загрузим;load;future;
загрузит;load;future;
загрузите;load;future;
загрузить;load;present;
загрузишь;load;future;
загрузят;load;future;
зайдём;входить;future;
зайдёт;входить;future;
зайдёте;входить;future;
зайдёшь;входить;future;
зайду;входить;future;
зайдут;входить;future;
зайти;входить;present;
закидывать;забрасывать;present;
закинем;забрасывать;future;
закинет;забрасывать;future;
закинете;забрасывать;future;
закинешь;забрасывать;future;
закину;забрасывать;future;
закинул;забрасывать;past;
закинула;забрасывать;past;
закинули;забрасывать;past;
закинуло;забрасывать;past;
закинут;забрасывать;future;
закинуть;забрасывать;present;
закроем;close;future;
закроет;close;future;
закроете;close;future;
закроешь;close;future;
закрою;close;future;
закроют;close;future;
закрываем;close;present;
закрывает;close;present;
закрываете;close;present;
закрываетесь;close;present;
закрываешь;close;present;
закрывал;close;past;
закрывала;close;past;
закрывали;close;past;
закрывало;close;past;
закрывать;close;present;
закрываю;close;present;
закрывают;close;present;
закрыл;close;past;
закрыла;close;past;
закрыли;close;past;
закрыло;close;past;
закрыть;close;present;
заменил;менять;past;
заменила;менять;past;
заменили;менять;past;
заменило;менять;past;
заменим;менять;future;
заменит;менять;future;
замените;менять;future;
заменить;менять;present;
заменишь;менять;future;
заменю;менять;future;
заменяем;менять;present;
заменяет;менять;present;
заменяете;менять;present;
заменяешь;менять;present;
заменял;менять;past;
заменяла;менять;past;
заменяли;менять;past;
заменяло;менять;past;
заменят;менять;future;
заменять;менять;present;
заменяю;менять;present;
заменяют;менять;present;
замораживаем;заморозить;present;
замораживает;заморозить;present;
замораживаете;заморозить;present;
замораживаешь;заморозить;present;
замораживал;заморозить;past;
замораживала;заморозить;past;
замораживали;заморозить;past;
замораживало;заморозить;past;
замораживать;заморозить;present;
замораживаю;заморозить;present;
замораживают;заморозить;present;
заморожу;заморозить;future;
заморозил;заморозить;past;
заморозила;заморозить;past;
заморозили;заморозить;past;
заморозило;заморозить;past;
заморозим;заморозить;future;
заморозит;заморозить;future;
заморозите;заморозить;future;
заморозить;заморозить;present;
заморозишь;заморозить;future;
заморозьте;заморозить;future;
заморозят;заморозить;future;
заплатил;платить;past;
заплатила;платить;past;
заплатили;платить;past;
заплатило;платить;future;
заплатим;платить;future;
заплатит;платить;future;
заплатите;платить;future;
заплатить;платить;present;
заплатишь;платить;future;
заплатят;платить;future;
заплачу;платить;future;
заплочу;платить;future;
запускаем;запускать;present;
запускает;запускать;present;
запускаете;запускать;present;
запускаешь;запускать;present;
запускал;запускать;past;
запускала;запускать;past;
запускали;запускать;past;
запускало;запускать;past;
запускать;запускать;present;
запускаю;запускать;present;
запускают;запускать;present;
запусти;запускать;future;
запустил;запускать;past;
запустила;запускать;past;
запустили;запускать;past;
запустило;запускать;past;
запустим;запускать;future;
запустит;запускать;future;
запустите;запускать;future;
запустить;запускать;present;
запустишь;запускать;future;
запустят;запускать;future;
запущу;запускать;future;
зарегистрировал;регистрировать;past;
зарегистрировала;регистрировать;past;
зарегистрировали;регистрировать;past;
зарегистрировало;регистрировать;past;
зарегистрировать;регистрировать;present;
зарегистрируем;регистрировать;future;
зарегистрирует;регистрировать;future;
зарегистрируете;регистрировать;future;
зарегистрируешь;регистрировать;future;
зарегистрирую;регистрировать;future;
зарегистрируют;регистрировать;future;
заходил;входить;past;
заходила;входить;past;
заходили;входить;past;
заходило;входить;past;
заходим;входить;present;
заходит;входить;present;
заходите;входить;present;
заходить;входить;present;
заходишь;входить;present;
заходят;входить;present;
захожу;входить;present;
зачислен;зачислять;past;
зачислена;зачислять;past;
зачислено;зачислять;past;
зачислены;зачислять;past;
зачислил;зачислять;past;
зачислила;зачислять;past;
зачислили;зачислять;past;
зачислило;зачислять;past;
зачислим;зачислять;future;
зачислит;зачислять;future;
зачислите;зачислять;future;
зачислишь;зачислять;future;
зачислю;зачислять;future;
зачисляем;зачислять;present;
зачисляет;зачислять;present;
зачисляете;зачислять;present;
зачисляешь;зачислять;present;
зачислял;зачислять;past;
зачисляла;зачислять;past;
зачисляли;зачислять;past;
зачисляло;зачислять;past;
зачислят;зачислять;future;
зачислять;зачислять;present;
зачисляю;зачислять;present;
зачисляют;зачислять;present;
зашёл;входить;past;
зашла;входить;past;
зашли;входить;past;
зашло;входить;past;
защитил;protect;past;
защитила;protect;past;
защитили;protect;past;
защитило;protect;past;
защитим;protect;future;
защитит;protect;future;
защитите;protect;future;
защитить;protect;present;
защитишь;protect;future;
защитят;protect;future;
защищаем;protect;present;
защищает;protect;present;
защищаете;protect;present;
защищаешь;protect;present;
защищал;protect;past;
защищала;protect;past;
защищали;protect;past;
защищало;protect;past;
защищать;protect;present;
защищаю;protect;present;
защищают;protect;present;
защищу;protect;future;
заявил;заявлять;past;
заявила;заявлять;past;
заявили;заявлять;past;
заявило;заявлять;past;
заявим;заявлять;future;
заявит;заявлять;future;
заявите;заявлять;future;
заявишь;заявлять;future;
заявлено;заявлять;past;
заявлю;заявлять;future;
заявляем;заявлять;present;
заявляет;заявлять;present;
заявляете;заявлять;present;
заявляешь;заявлять;present;
заявлял;заявлять;past;
заявляла;заявлять;past;
заявляли;заявлять;past;
заявляло;заявлять;past;
заявлять;заявлять;present;
заявляю;заявлять;present;
заявляют;заявлять;present;
заявят;заявлять;future;
идет;идти;present;
идёт;идти;present;
идут;идти;present;
изменил;менять;past;
изменила;менять;past;
изменилась;менять;past;
изменили;менять;past;
изменились;менять;past;
изменило;менять;past;
изменилось;менять;past;
изменился;менять;past;
изменим;менять;future;
изменимся;менять;future;
изменит;менять;future;
измените;менять;future;
изменитесь;менять;future;
изменится;менять;future;
изменить;менять;present;
изменишь;менять;future;
изменишься;менять;future;
изменю;менять;future;
изменюсь;менять;future;
изменяем;менять;present;
изменяемся;менять;present;
изменяет;менять;present;
изменяете;менять;present;
изменяетесь;менять;present;
изменяется;менять;present;
изменяешь;менять;present;
изменяешься;менять;present;
изменял;менять;past;
изменяла;менять;past;
изменялась;менять;past;
изменяли;менять;past;
изменялись;менять;past;
изменяло;менять;past;
изменялось;менять;past;
изменялся;менять;past;
изменят;менять;future;
изменятся;менять;future;
изменять;менять;present;
изменяться;менять;present;
изменяю;менять;present;
изменяюсь;менять;present;
изменяют;менять;present;
изменяются;менять;present;
интересует;узнавать;present;
интересуют;узнавать;present;
использовал;use;past;
использовала;use;past;
использовали;use;past;
использовало;use;past;
использовать;use;present;
используем;use;present;
использует;use;present;
используете;use;present;
используешь;use;present;
использую;use;present;
используют;use;present;
кидаем;кидать;present;
кидает;кидать;present;
кидаете;кидать;present;
кидаешь;кидать;present;
кидал;кидать;past;
кидала;кидать;past;
кидали;кидать;past;
кидало;кидать;past;
кидать;кидать;present;
кидаю;кидать;present;
кидают;кидать;present;
кинем;кидать;future;
кинет;кидать;future;
кинете;кидать;future;
кинешь;кидать;future;
кину;кидать;future;
кинул;кидать;future;
кинула;кидать;past;
кинули;кидать;past;
кинуло;кидать;past;
кинут;кидать;future;
кинуть;кидать;present;
киньте;кидать;future;
купил;buy;past;
купила;buy;past;
купили;buy;past;
купило;buy;past;
купим;buy;future;
купит;buy;future;
купите;buy;future;
купить;buy;future;
купишь;buy;future;
куплю;buy;future;
купят;buy;future;
лагаем;lag;present;
лагает;lag;present;
лагаете;lag;present;
лагаешь;lag;present;
лагал;lag;past;
лагала;lag;past;
лагали;lag;past;
лагало;lag;past;
лагать;lag;present;
лагаю;lag;present;
лагают;lag;present;
меняем;менять;present;
меняемся;менять;present;
меняет;менять;present;
меняете;менять;present;
меняетесь;менять;present;
меняется;менять;present;
меняешь;менять;present;
меняешься;менять;present;
менял;менять;past;
меняла;менять;past;
менялась;менять;past;
меняли;менять;past;
менялись;менять;past;
меняло;менять;past;
менялось;менять;past;
менялся;менять;past;
менять;менять;present;
меняться;менять;present;
меняю;менять;present;
меняюсь;менять;present;
меняют;менять;present;
меняются;менять;present;
назвал;сказать;past;
назвала;сказать;past;
назвали;сказать;past;
назвало;сказать;past;
назовём;сказать;future;
назовёт;сказать;future;
назовёте;сказать;future;
назовёшь;сказать;future;
назовите;называть;present;
назову;сказать;future;
назовут;сказать;future;
называем;сказать;present;
называет;сказать;present;
называете;сказать;present;
называешь;сказать;present;
называл;сказать;past;
называла;сказать;past;
называли;сказать;past;
называло;сказать;past;
называть;сказать;present;
называю;сказать;present;
называют;сказать;present;
найдём;find;future;
найдёмся;находиться;future;
найдёт;find;future;
найдёте;find;future;
найдётесь;находиться;future;
найдётся;находиться;future;
найдёшь;find;future;
найдёшься;находиться;future;
найду;find;future;
найдусь;находиться;future;
найдут;find;future;
найдутся;находиться;future;
найти;find;present;
наладил;настраивать;past;
наладила;настраивать;past;
наладили;настраивать;past;
наладило;настраивать;past;
наладим;настраивать;future;
наладит;настраивать;future;
наладите;настраивать;future;
наладить;настраивать;present;
наладишь;настраивать;future;
наладят;настраивать;future;
налажен;настраивать;past;
налажена;настраивать;past;
налаживаем;настраивать;present;
налаживает;настраивать;present;
налаживаете;настраивать;present;
налаживаешь;настраивать;present;
налаживал;настраивать;past;
налаживала;настраивать;past;
налаживали;настраивать;past;
налаживало;настраивать;past;
налаживать;настраивать;present;
налаживаю;настраивать;present;
налаживают;настраивать;present;
налажу;настраивать;future;
написать;писать;present;
напишите;писать;future;
направил;send;past;
направила;send;past;
направили;send;past;
направило;send;past;
направим;send;future;
направит;send;future;
направите;send;future;
направить;send;present;
направишь;send;future;
направлю;send;future;
направляем;send;present;
направляет;send;present;
направляете;send;present;
направляешь;send;present;
направлял;send;past;
направляла;send;past;
направляли;send;past;
направляло;send;past;
направлять;send;present;
направляю;send;present;
направляют;send;present;
направьте;send;future;
направят;send;future;
настраиваем;настраивать;present;
настраивает;настраивать;present;
настраиваете;настраивать;present;
настраиваешь;настраивать;present;
настраивал;настраивать;past;
настраивала;настраивать;past;
настраивали;настраивать;past;
настраивало;настраивать;past;
настраивать;настраивать;present;
настраиваю;настраивать;present;
настраивают;настраивать;present;
настроен;настраивать;past;
настроена;настраивать;past;
настроил;настраивать;past;
настроила;настраивать;past;
настроили;настраивать;past;
настроило;настраивать;past;
настроим;настраивать;future;
настроит;настраивать;future;
настроите;настраивать;future;
настроить;настраивать;present;
настроишь;настраивать;future;
настройте;настраивать;future;
настрою;настраивать;future;
настроят;настраивать;future;
находил;find;past;
находила;find;past;
находилась;находиться;past;
находили;find;past;
находились;находиться;past;
находило;find;past;
находилось;находиться;past;
находился;находиться;past;
находим;find;present;
находимся;находиться;present;
находит;find;present;
находите;find;present;
находитесь;находиться;present;
находится;находиться;present;
находить;find;present;
находиться;находиться;present;
находишь;find;present;
находишься;находиться;present;
находят;find;present;
находятся;находиться;present;
нахожу;find;present;
нахожусь;находиться;present;
началась;начинать;past;
начались;начинать;past;
началось;начинать;past;
начался;начинать;past;
начинаемся;начинать;present;
начинаетесь;начинать;present;
начинается;начинать;present;
начинаешься;начинать;present;
начиналась;начинать;past;
начинались;начинать;past;
начиналось;начинать;past;
начинался;начинать;past;
начинаться;начинать;present;
начинаюсь;начинать;present;
начинаются;начинать;present;
начнёмся;начинать;future;
начнётесь;начинать;future;
начнётся;начинать;future;
начнёшься;начинать;future;
начнусь;начинать;future;
начнутся;начинать;future;
нашёл;find;past;
нашёлся;находиться;past;
нашла;find;past;
нашлась;находиться;past;
нашли;find;past;
нашлись;находиться;past;
нашло;find;past;
нашлось;находиться;past;
несовпадающие;match;present;
обезопасил;protect;past;
обезопасила;protect;past;
обезопасили;protect;past;
обезопасило;protect;past;
обезопасим;protect;future;
обезопасит;protect;future;
обезопасите;protect;future;
обезопасить;protect;present;
обезопасишь;protect;future;
обезопасят;protect;future;
обезопашу;protect;future;
оборвалась;рваться;past;
оборвались;рваться;past;
оборвалось;рваться;past;
оборвался;рваться;past;
оборвёмся;рваться;future;
оборвётесь;рваться;future;
оборвётся;рваться;future;
оборвёшься;рваться;future;
оборвусь;рваться;future;
оборвутся;рваться;future;
обрываемся;рваться;future;
обрываетесь;рваться;future;
обрывается;рваться;present;
обрываешься;рваться;present;
обрывалась;рваться;past;
обрывались;рваться;past;
обрывалось;рваться;past;
обрывался;рваться;past;
обрываться;рваться;present;
обрываюсь;рваться;present;
обрываются;рваться;present;
ограничат;protect;future;
ограничиваем;protect;present;
ограничивает;protect;present;
ограничиваете;protect;present;
ограничиваешь;protect;present;
ограничивал;protect;past;
ограничивала;protect;past;
ограничивали;protect;past;
ограничивало;protect;past;
ограничивать;protect;present;
ограничиваю;protect;present;
ограничивают;protect;present;
ограничил;protect;past;
ограничила;protect;past;
ограничили;protect;past;
ограничило;protect;past;
ограничим;protect;future;
ограничит;protect;future;
ограничите;protect;future;
ограничить;protect;present;
ограничишь;protect;future;
ограничу;protect;future;
опалатить;платить;present;
оплатил;платить;past;
оплатила;платить;past;
оплатили;платить;past;
оплатило;платить;past;
оплатим;платить;future;
оплатит;платить;future;
оплатите;платить;future;
оплатить;платить;present;
оплатишь;платить;future;
оплатят;платить;future;
оплачиваем;платить;present;
оплачивает;платить;present;
оплачиваете;платить;present;
оплачиваешь;платить;present;
оплачивал;платить;past;
оплачивала;платить;past;
оплачивали;платить;past;
оплачивало;платить;past;
оплачивать;платить;present;
оплачиваю;платить;present;
оплачивают;платить;present;
оплачу;платить;future;
осталось;остаться;past;
останавливаем;stop;present;
останавливает;stop;present;
останавливаете;stop;present;
останавливаешь;stop;present;
останавливал;stop;past;
останавливала;stop;past;
останавливали;stop;past;
останавливало;stop;past;
останавливать;stop;present;
останавливаю;stop;present;
останавливают;stop;present;
остановил;stop;past;
остановила;stop;past;
остановили;stop;past;
остановило;stop;past;
остановим;stop;future;
остановит;stop;future;
остановите;stop;future;
остановить;stop;future;
остановишь;stop;future;
остановлю;stop;future;
остановят;stop;future;
отвечает;answer;present;
откажемся;cancel;future;
откажетесь;cancel;future;
откажется;cancel;future;
откажешься;cancel;future;
откажусь;cancel;future;
откажутся;cancel;future;
отказалась;cancel;past;
отказались;cancel;past;
отказалось;cancel;past;
отказался;cancel;past;
отказаться;cancel;present;
отказываемся;cancel;present;
отказываетесь;cancel;present;
отказывается;cancel;present;
отказываешься;cancel;present;
отказывалась;cancel;past;
отказывались;cancel;past;
отказывалось;cancel;past;
отказывался;cancel;past;
отказываться;cancel;present;
отказываюсь;cancel;present;
отказываются;cancel;present;
отключаем;отключать;present;
отключает;отключать;present;
отключаете;отключать;present;
отключается;отключать;present;изъявительное
отключаешь;отключать;present;
отключал;отключать;past;
отключала;отключать;past;
отключали;отключать;past;
отключало;отключать;past;
отключат;отключать;future;
отключать;отключать;present;
отключаться;отключать;present;изъявительное
отключаю;отключать;present;
отключают;отключать;present;
отключил;отключать;past;
отключила;отключать;past;
отключили;отключать;past;
отключило;отключать;past;
отключим;отключать;future;
отключит;отключать;future;
отключите;отключать;future;
отключить;отключать;present;
отключишь;отключать;future;
отключу;отключать;future;
откроем;open;future;
откроемся;open;future;
откроет;open;future;
откроете;open;future;
откроетесь;open;future;
откроется;open;future;
откроешь;open;future;
откроешься;open;future;
откройте;open;present;
открою;open;future;
откроюсь;open;future;
откроют;open;future;
откроются;open;future;
открываем;open;present;
открываемся;open;present;
открывает;open;present;
открываете;open;present;
открываетесь;open;present;
открывается;open;present;
открываешь;open;present;
открываешься;open;present;
открывал;open;past;
открывала;open;past;
открывалась;open;past;
открывали;open;past;
открывались;open;past;
открывало;open;past;
открывалось;open;past;
открывался;open;past;
открывать;open;present;
открываться;open;present;
открываю;open;present;
открываюсь;open;present;
открывают;open;present;
открываются;open;present;
открыл;open;past;
открыла;open;past;
открылась;open;past;
открыли;open;past;
открылись;open;past;
открыло;open;past;
открылось;open;past;
открылся;open;past;
открыть;open;present;
отладил;настраивать;past;
отладила;настраивать;past;
отладили;настраивать;past;
отладило;настраивать;past;
отладим;настраивать;future;
отладит;настраивать;future;
отладите;настраивать;future;
отладить;настраивать;present;
отладишь;настраивать;future;
отладят;настраивать;future;
отлаживаем;настраивать;present;
отлаживает;настраивать;present;
отлаживаете;настраивать;present;
отлаживаешь;настраивать;present;
отлаживал;настраивать;past;
отлаживала;настраивать;past;
отлаживали;настраивать;past;
отлаживало;настраивать;past;
отлаживать;настраивать;present;
отлаживаю;настраивать;present;
отлаживают;настраивать;present;
отлажу;настраивать;future;
отменил;cancel;past;
отменила;cancel;past;
отменили;cancel;past;
отменило;cancel;past;
отменим;cancel;future;
отменит;cancel;future;
отмените;cancel;future;
отменить;cancel;present;
отменишь;cancel;future;
отменю;cancel;future;
отменяем;cancel;present;
отменяет;cancel;present;
отменяете;cancel;present;
отменяешь;cancel;present;
отменял;cancel;past;
отменяла;cancel;past;
отменяли;cancel;past;
отменяло;cancel;past;
отменят;cancel;future;
отменять;cancel;present;
отменяю;cancel;present;
отменяют;cancel;present;
отображаются;отображаются;past;
отобразились;отображаются;past;
отправил;send;past;
отправила;send;past;
отправили;send;past;
отправило;send;past;
отправим;send;future;
отправит;send;future;
отправите;send;future;
отправить;send;present;
отправишь;send;future;
отправлю;send;future;
отправляем;send;present;
отправляет;send;present;
отправляете;send;present;
отправляешь;send;present;
отправлял;send;past;
отправляла;send;past;
отправляли;send;past;
отправляло;send;past;
отправлять;send;present;
отправляю;send;present;
отправляют;send;present;
отправь;send;present;
отправьте;send;present;
отправят;send;future;
отрегулировал;регулировать;past;
отрегулировала;регулировать;past;
отрегулировали;регулировать;past;
отрегулировало;регулировать;past;
отрегулирован;регулировать;past;
отрегулировать;регулировать;present;
отрегулируем;регулировать;future;
отрегулирует;регулировать;future;
отрегулируете;регулировать;future;
отрегулируешь;регулировать;future;
отрегулирую;регулировать;future;
отрегулируют;регулировать;future;
отсутствовал;lost;past;
отсутствовала;lost;past;
отсутствовали;lost;past;
отсутствовало;lost;past;
отсутствовать;lost;present;
отсутствуем;lost;present;
отсутствует;lost;present;
отсутствуете;lost;present;
отсутствуешь;lost;present;
отсутствую;lost;present;
отсутствуют;lost;present;
оформил;оформлять;past;
оформила;оформлять;past;
оформили;оформлять;past;
оформило;оформлять;past;
оформим;оформлять;future;
оформит;оформлять;future;
оформите;оформлять;future;
оформить;оформлять;present;
оформишь;оформлять;future;
оформлю;оформлять;future;
оформляем;оформлять;present;
оформляет;оформлять;present;
оформляете;оформлять;present;
оформляешь;оформлять;present;
оформлял;оформлять;past;
оформляла;оформлять;past;
оформляли;оформлять;past;
оформляло;оформлять;past;
оформлять;оформлять;present;
оформляю;оформлять;present;
оформляют;оформлять;present;
оформят;оформлять;future;
ошиблась;ошибаться;past;
ошиблись;ошибаться;past;
ошибся;ошибаться;past;
падает;падать;present;
переведём;перевести;future;
переведёт;перевести;future;
переведёте;перевести;future;
переведёшь;перевести;future;
переведу;перевести;future;
переведут;перевести;future;
перевел;перевести;past;
перевела;перевести;past;
перевелась;перевести;past;
перевели;перевести;past;
перевелись;перевести;past;
перевело;перевести;past;
перевелось;перевести;past;
перевелся;перевести;past;
перевести;перевести;present;
перевёл;перевести;past;
переводил;перевести;past;
переводила;перевести;past;
переводили;перевести;past;
переводило;перевести;past;
переводим;перевести;present;
переводит;перевести;present;
переводите;перевести;present;
переводить;перевести;present;
переводишь;перевести;present;
переводят;перевести;present;
перевожу;перевести;present;
переделаем;менять;future;
переделает;менять;future;
переделаете;менять;future;
переделаешь;менять;future;
переделал;менять;past;
переделала;менять;past;
переделали;менять;past;
переделало;менять;past;
переделать;менять;present;
переделаю;менять;past;
переделают;менять;past;
переделываем;менять;present;
переделывает;менять;present;
переделываете;менять;present;
переделываешь;менять;present;
переделывал;менять;past;
переделывала;менять;past;
переделывали;менять;past;
переделывало;менять;past;
переделывать;менять;present;
переделываю;менять;present;
переделывают;менять;present;
переедем;переезжать;future;
переедет;переезжать;future;
переедете;переезжать;future;
переедешь;переезжать;future;
перееду;переезжать;future;
переедут;переезжать;future;
переезд;переезжать;na;
переезжаем;переезжать;present;
